id	Col_0_1	Col_0_2	Col_0_3	Col_48_1	Col_48_2	Col_48_3	col0_1	col0_2	col0_3	bmi1abc_1	bmi1abc_2	clfswn_1	clfswn_2	clfswn_3
AT3G21100	2.856037658	2.852806747	2.561306423	13.30932099	14.09187504	13.08086114	5.672276	6.06624	6.27624	9.893286	9.816426	8.417308	8.145521	8.288206
AT3G21110	4.088579652	5.195571423	5.070894158	23.24037053	21.16955102	20.72387865	8.77252	9.180172	10.54195	19.38731	17.85738	14.98774	13.8115	11.1716
AT3G21130	0	0.144021197	0	0	0	0	0	0	0	0	0	0	0	0
AT3G21140	10.96141506	9.790216661	9.45104781	19.16056798	20.57705453	18.0771408	12.14527	13.35863	15.39408	18.07594	20.89754	16.8987	17.80577	16.25603
AT3G21150	1.062883299	1.177314349	1.186825151	3.861922834	2.823658979	3.166319822	0.123839	0.109242	0.348508	5.770505	2.996906	5.113482	6.002388	3.651653
AT3G21160	1.226498789	1.688250171	1.390442912	10.37525928	11.92454752	12.71845632	13.49559	15.29186	14.41495	7.373749	6.336122	12.79192	11.37395	11.59019
AT3G21175	7.740181627	9.333972937	7.988506476	19.63247131	19.89978786	22.08585906	11.95961	12.75669	13.14768	8.324415	9.312485	15.37902	17.19245	14.90134
AT3G21180	0.034927327	0.046153672	0.06630029	1.204134687	0.821560792	1.566668525	2.168548	2.33692	2.387648	0.825661	0.471926	0.358502	0.329633	0.453179
AT3G21190	0.471676369	0.218148923	0.358141122	18.11322186	19.34928642	18.56363823	12.67335	15.67939	13.89271	20.10133	16.25726	23.04496	20.21058	20.70516
AT3G21200	17.85280014	19.77484998	17.71112439	134.2597713	124.7260004	131.4388053	51.66584	54.69839	50.49608	24.03466	24.02429	31.59953	31.20925	30.83632
AT3G21210	0	0	0	0.52321935	0.197714071	0.364866973	0.450204	0.375755	0.195654	0.027035	0.036908	0.115841	0.279889	0.239171
AT3G21215	8.017488637	6.690161231	6.367568927	31.62680992	31.24883694	31.34623829	20.58589	20.92187	22.15318	14.87081	15.11113	18.13879	17.91719	15.98666
AT3G21220	10.4184376	10.29788867	9.809427588	31.44418305	28.62539153	33.23681152	11.56182	13.53735	13.51839	25.43528	26.34055	29.59468	32.67888	31.21459
AT3G21230	0.039447469	0.078190018	0.168481313	1.529964592	1.00211428	1.341334445	7.126643	9.121531	8.843785	58.90958	40.07182	12.4992	10.36245	9.86444
AT3G21240	0.051158436	0	0.024277689	8.965521677	5.667773953	9.697027541	17.63695	22.10882	21.54254	86.13863	79.3998	47.85766	45.26543	45.50353
AT3G21250	0.258262807	0.140775387	0.061280452	14.56129506	14.16049694	16.31158593	18.58908	18.39897	17.9084	8.962117	9.428628	33.61176	30.51056	31.69937
AT3G21260	0	0.037114706	0	0.591745564	0.792794658	0.596055377	12.9325	13.61383	14.15907	0.1998586	0.09691301	15.00965	11.09558	13.89796
AT3G21270	2.831168039	2.221315162	2.239259807	22.79161836	22.89194575	22.44554898	22.04558	22.03848	20.2658	6.586462	7.261167	10.76047	10.52418	10.10021
